id,date,timeofday,LON,LAT,"activity 1=not morving, 2=walking, 3=running, 4=biking, 6=skateboarding","direction 1=n, 2=s, 3=e, 4=w, 5=sw, 6=se, 7=nw, 8=ne","withmask 0=no, 1=yes","nomaskimpr 0=no mask or mask but incorrect, 1=mask and correct","maskreason 1=nose exposed, 2=nose and mouth exposed","maskother 1=exhalation valve or vent, 2=on forehead, 3=around neck, 4=touched mask, 5=<2 years of age, 6=in hand, 7=hanging on ear","socialdist 0=no, 1=yes","agegroup 1=<18, 2=18-30, 3=31-55, 4=>55","white 0=not white, 1=white","sex 1=male, 2=female","smoking 0= not smoking, 1=smoking","obese 0=not overweight/obese, 1=overweight/obese","touchsurface 0=no, 1=yes","surfacetype 1=trash can, 2=parking meter, 3=door handle, 4=railing, 5=auto, 6=building, 7=other, 8=bench, 9=phone, 11=tools, 12=table","Etiquette1 0=no hands to head, 1= hands to head"
2/27/1900,9/3/2020,120506,39.678193,-75.7513,2,3,1,1,0,0,0,2,1,2,0,0,0,0,0
2/28/1900,9/3/2020,120526,39.67787,-75.7516,1,0,1,1,0,0,0,3,1,2,0,1,1,8,0
2/29/1900,9/3/2020,120526,39.677862,-75.7516,1,0,1,0,2,3,0,3,1,1,0,1,0,0,0
3/1/1900,9/3/2020,120526,39.677855,-75.7516,1,0,1,0,2,3,0,1,1,2,0,0,0,0,0
3/2/1900,9/3/2020,120628,39.679036,-75.7534,2,3,0,0,0,0,1,2,1,1,0,0,0,0,0
3/3/1900,9/3/2020,120712,39.679506,-75.7535,2,2,0,0,0,0,1,2,1,1,0,0,0,0,0
3/4/1900,9/3/2020,120723,39.679857,-75.7536,2,1,1,1,0,0,1,3,0,1,0,0,0,0,0
3/5/1900,9/3/2020,120909,39.680438,-75.7558,2,1,0,0,0,0,1,3,1,1,0,0,0,0,0
3/6/1900,9/3/2020,121006,39.682161,-75.755,2,3,1,1,0,0,1,3,0,1,0,0,0,0,0
3/7/1900,9/3/2020,121019,39.682667,-75.7548,2,8,1,0,2,3,0,3,1,1,0,0,0,0,0
3/8/1900,9/3/2020,121019,39.682656,-75.7548,2,8,1,1,0,0,0,2,1,1,0,0,0,0,0
3/9/1900,9/3/2020,121028,39.682861,-75.7547,1,0,0,0,0,0,1,2,1,1,0,0,0,0,1
3/10/1900,9/3/2020,121117,39.682193,-75.7539,2,1,0,0,0,0,0,2,1,2,0,0,0,0,0
3/11/1900,9/3/2020,121117,39.68219,-75.7539,2,1,1,0,2,6,0,2,1,2,0,0,0,0,0
3/12/1900,9/3/2020,121416,39.6819,-75.7526,3,6,0,0,0,0,1,2,1,1,0,0,0,0,0
3/13/1900,9/3/2020,121429,39.682372,-75.7523,2,2,1,1,0,0,1,4,1,1,0,1,0,0,0
3/14/1900,9/3/2020,121432,39.682439,-75.7523,1,0,0,0,0,0,0,2,1,1,0,0,1,8,0
3/15/1900,9/3/2020,121432,39.682428,-75.7523,1,0,0,0,0,0,0,2,1,1,0,0,1,8,0
3/16/1900,9/3/2020,121438,39.682706,-75.7524,1,0,0,0,0,0,0,2,1,1,0,0,0,0,1
3/17/1900,9/3/2020,121438,39.682718,-75.7524,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
3/18/1900,9/3/2020,121441,39.682732,-75.7523,1,0,0,0,0,0,1,2,0,1,0,0,1,8,0
3/19/1900,9/3/2020,121442,39.682796,-75.7524,2,2,0,0,0,0,1,4,1,2,0,0,0,0,0
3/20/1900,9/3/2020,121442,39.682899,-75.7524,2,4,0,0,0,0,1,4,1,1,0,1,1,4,0
3/21/1900,9/3/2020,121534,39.681767,-75.7516,2,4,1,1,0,0,1,2,1,1,0,0,0,0,0
3/22/1900,9/3/2020,121536,39.681779,-75.7515,2,4,1,1,0,0,1,2,1,2,0,1,0,0,0
3/23/1900,9/3/2020,121641,39.681391,-75.7504,2,3,1,1,0,0,0,3,0,2,0,1,0,0,0
3/24/1900,9/3/2020,121641,39.681386,-75.7504,2,3,1,1,0,0,0,3,0,2,0,0,0,0,0
3/25/1900,9/3/2020,121803,39.682117,-75.7476,3,4,0,0,0,0,1,2,1,1,0,0,0,0,0
3/26/1900,9/3/2020,121803,39.682086,-75.7476,3,4,0,0,0,0,1,2,1,1,0,0,0,0,0
3/27/1900,9/3/2020,121824,39.682084,-75.7472,2,1,1,1,0,0,1,3,1,1,0,0,0,0,0
3/28/1900,9/3/2020,121835,39.682207,-75.7474,2,2,1,1,0,0,1,3,0,2,0,1,0,0,0
3/29/1900,9/3/2020,121837,39.682244,-75.7473,2,2,1,1,0,0,1,2,1,1,0,0,0,0,0
3/30/1900,9/3/2020,111936,39.683582,-75.7454,2,4,0,0,0,0,1,2,1,2,0,0,0,0,0
3/31/1900,9/3/2020,111941,39.683703,-75.7456,2,3,0,0,0,0,1,2,1,1,0,0,0,0,0
4/1/1900,9/3/2020,111948,39.683553,-75.7457,2,3,0,0,0,0,1,3,1,1,0,0,0,0,0
4/2/1900,9/3/2020,111959,39.683518,-75.746,1,0,1,1,0,0,1,2,1,2,0,0,0,0,0
4/3/1900,9/3/2020,112003,39.683516,-75.7463,2,3,0,0,0,0,1,2,1,2,0,0,0,0,0
4/4/1900,9/3/2020,112033,39.68361,-75.7468,2,3,1,0,1,0,1,2,1,2,0,0,0,0,0
4/5/1900,9/3/2020,112037,39.683445,-75.7468,2,3,1,1,0,0,1,2,1,2,0,0,0,0,0
4/6/1900,9/3/2020,112037,39.683437,-75.7469,2,3,1,1,0,0,0,2,1,2,0,0,0,0,0
4/7/1900,9/3/2020,112037,39.683449,-75.7469,2,3,1,1,0,0,0,2,1,2,0,0,0,0,0
4/8/1900,9/3/2020,112042,39.68359,-75.7472,2,3,1,0,2,3,0,3,1,1,0,1,0,0,0
4/9/1900,9/3/2020,112042,39.683602,-75.7472,2,3,1,0,2,3,0,3,1,2,0,0,0,0,0
4/10/1900,9/3/2020,112044,39.683416,-75.7472,2,2,0,0,0,0,1,2,1,2,0,0,0,0,0
4/11/1900,9/3/2020,112050,39.683542,-75.7473,1,0,0,0,0,0,1,3,1,1,0,0,1,5,0
4/12/1900,9/3/2020,112054,39.683407,-75.7472,1,0,1,1,0,0,0,2,1,2,0,0,0,0,0
4/13/1900,9/3/2020,112054,39.683415,-75.7472,1,0,1,1,0,0,0,2,1,2,0,0,0,0,0
4/14/1900,9/3/2020,112054,39.683406,-75.7473,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
4/15/1900,9/3/2020,112054,39.683407,-75.7473,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
4/16/1900,9/3/2020,112054,39.6834,-75.7474,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0
4/17/1900,9/3/2020,112054,39.683432,-75.7474,2,3,1,1,0,0,1,2,1,2,0,0,0,0,0
4/18/1900,9/3/2020,112059,39.683405,-75.7475,2,6,0,0,0,0,1,2,1,1,0,0,0,0,0
4/19/1900,9/3/2020,112105,39.683553,-75.7476,2,3,1,1,0,0,0,2,1,2,0,0,0,0,0
4/20/1900,9/3/2020,112105,39.683561,-75.7476,2,3,1,1,0,0,0,2,1,2,0,0,0,0,0
4/21/1900,9/3/2020,112105,39.68357,-75.7476,2,3,1,1,0,0,0,2,1,2,0,0,0,0,0
4/22/1900,9/3/2020,112105,39.683572,-75.7476,2,3,0,0,0,0,0,2,1,2,0,0,0,0,0
4/23/1900,9/3/2020,112111,39.683416,-75.7475,2,4,1,1,0,0,0,2,1,2,0,0,0,0,0
