id,Masksd 0=Mask Non-Complient and Not Social Distancing; 1 = Mask Complient and Social Distancing; 9= could not be determined
2091.00,1.00
2099.00,1.00
2102.00,1.00
2174.00,1.00
2042.00,1.00
476.00,9.00
171.00,1.00
150.00,1.00
82.00,1.00
12.00,1.00
216.00,1.00
431.00,1.00
248.00,1.00
252.00,1.00
351.00,1.00
398.00,1.00
530.00,1.00
151.00,0.00
152.00,0.00
547.00,1.00
158.00,1.00
7.00,1.00
6.00,1.00
223.00,1.00
222.00,1.00
2219.00,0.00
403.00,1.00
328.00,0.00
234.00,0.00
2225.00,0.00
2226.00,0.00
2227.00,0.00
528.00,0.00
529.00,0.00
2269.00,1.00
127.00,1.00
461.00,1.00
1594.00,1.00
2008.00,1.00
236.00,0.00
126.00,1.00
304.00,0.00
2270.00,1.00
350.00,1.00
2233.00,1.00
2238.00,1.00
2240.00,1.00
538.00,1.00
588.00,1.00
587.00,0.00
197.00,1.00
348.00,1.00
399.00,1.00
446.00,1.00
455.00,1.00
447.00,1.00
177.00,1.00
1595.00,1.00
2045.00,1.00
2145.00,1.00
2172.00,1.00
29.00,1.00
2210.00,1.00
263.00,1.00
2103.00,1.00
287.00,1.00
2211.00,9.00
387.00,1.00
2143.00,1.00
2144.00,1.00
2168.00,1.00
2167.00,1.00
235.00,1.00
14.00,1.00
2176.00,1.00
465.00,1.00
172.00,1.00
78.00,1.00
39.00,1.00
332.00,1.00
231.00,1.00
241.00,1.00
347.00,1.00
370.00,1.00
257.00,1.00
372.00,1.00
388.00,1.00
404.00,1.00
2202.00,1.00
562.00,1.00
1570.00,1.00
586.00,1.00
1578.00,1.00
2011.00,1.00
2095.00,1.00
2111.00,1.00
2115.00,1.00
2038.00,1.00
2177.00,1.00
297.00,1.00
362.00,1.00
228.00,1.00
299.00,1.00
301.00,1.00
1599.00,1.00
591.00,1.00
545.00,1.00
2116.00,1.00
2114.00,1.00
363.00,1.00
552.00,1.00
2204.00,0.00
2195.00,0.00
2197.00,0.00
2194.00,0.00
2193.00,0.00
2192.00,0.00
135.00,0.00
133.00,0.00
162.00,0.00
2061.00,0.00
192.00,0.00
117.00,0.00
143.00,0.00
144.00,0.00
67.00,0.00
323.00,0.00
325.00,0.00
1593.00,0.00
2040.00,0.00
2169.00,0.00
2170.00,0.00
2013.00,0.00
2014.00,0.00
33.00,1.00
2133.00,1.00
99.00,0.00
60.00,0.00
284.00,0.00
302.00,0.00
330.00,0.00
206.00,0.00
282.00,1.00
421.00,1.00
2134.00,1.00
100.00,0.00
116.00,0.00
35.00,0.00
247.00,0.00
540.00,0.00
2049.00,0.00
2050.00,0.00
2051.00,0.00
2022.00,0.00
51.00,1.00
2156.00,1.00
120.00,0.00
2186.00,0.00
43.00,1.00
59.00,1.00
557.00,1.00
558.00,1.00
2044.00,1.00
303.00,1.00
2198.00,1.00
2283.00,1.00
2271.00,1.00
2276.00,1.00
2279.00,1.00
244.00,1.00
87.00,1.00
2147.00,1.00
160.00,1.00
2053.00,1.00
2205.00,1.00
2064.00,1.00
156.00,1.00
451.00,1.00
2291.00,1.00
2266.00,9.00
65.00,1.00
2261.00,1.00
2162.00,1.00
2163.00,1.00
17.00,1.00
341.00,1.00
458.00,9.00
584.00,1.00
140.00,1.00
141.00,1.00
124.00,1.00
2254.00,9.00
92.00,1.00
10.00,1.00
102.00,1.00
354.00,1.00
237.00,1.00
224.00,1.00
278.00,1.00
314.00,1.00
326.00,1.00
336.00,1.00
305.00,1.00
436.00,1.00
2215.00,1.00
414.00,1.00
1583.00,1.00
475.00,1.00
561.00,1.00
2027.00,1.00
2030.00,1.00
2010.00,1.00
2119.00,1.00
55.00,1.00
357.00,1.00
432.00,1.00
265.00,1.00
317.00,1.00
368.00,1.00
2181.00,1.00
2023.00,1.00
2031.00,1.00
230.00,1.00
338.00,1.00
474.00,1.00
2043.00,1.00
2282.00,1.00
535.00,1.00
2100.00,1.00
2018.00,0.00
191.00,1.00
84.00,1.00
83.00,1.00
2191.00,0.00
2009.00,0.00
148.00,1.00
416.00,9.00
340.00,0.00
462.00,0.00
50.00,1.00
264.00,1.00
443.00,1.00
464.00,1.00
2007.00,1.00
418.00,9.00
256.00,0.00
147.00,1.00
262.00,1.00
438.00,1.00
440.00,1.00
463.00,1.00
445.00,1.00
407.00,1.00
154.00,1.00
1573.00,1.00
122.00,1.00
246.00,1.00
88.00,1.00
2173.00,1.00
2123.00,1.00
2214.00,1.00
2284.00,1.00
123.00,1.00
49.00,1.00
64.00,1.00
66.00,1.00
308.00,1.00
334.00,1.00
250.00,1.00
339.00,1.00
1590.00,1.00
585.00,1.00
2001.00,1.00
385.00,1.00
427.00,1.00
219.00,1.00
457.00,1.00
2124.00,1.00
2190.00,9.00
4.00,1.00
380.00,1.00
412.00,1.00
2272.00,1.00
260.00,1.00
359.00,1.00
410.00,1.00
271.00,1.00
1591.00,1.00
471.00,1.00
2101.00,1.00
360.00,0.00
2196.00,0.00
2203.00,1.00
2062.00,0.00
161.00,0.00
2184.00,0.00
439.00,1.00
316.00,0.00
424.00,0.00
2021.00,0.00
400.00,1.00
402.00,1.00
2020.00,0.00
266.00,1.00
268.00,1.00
437.00,1.00
2273.00,1.00
121.00,1.00
1.00,1.00
2262.00,9.00
2263.00,1.00
2066.00,1.00
459.00,1.00
295.00,1.00
2131.00,1.00
2280.00,1.00
352.00,1.00
415.00,1.00
254.00,1.00
590.00,1.00
2033.00,1.00
2019.00,1.00
80.00,1.00
73.00,1.00
289.00,1.00
2189.00,1.00
79.00,1.00
413.00,1.00
2178.00,1.00
46.00,1.00
2180.00,1.00
157.00,1.00
435.00,1.00
8.00,9.00
2286.00,9.00
2252.00,9.00
2267.00,1.00
2258.00,1.00
2293.00,9.00
200.00,9.00
2207.00,9.00
2253.00,9.00
487.00,9.00
488.00,9.00
2200.00,0.00
2199.00,0.00
2287.00,9.00
2285.00,9.00
2294.00,9.00
2268.00,9.00
